STATEA,COUNTYA,AJWME001,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021
1,113,58213,24304,23087,21111,1976,1567,311,63,0,35,57,57,0,0,0,0,46,30,0,310,149,625
1,115,87306,38109,36465,33011,3454,2373,446,433,189,13,83,83,0,0,0,0,0,55,0,147,394,965
1,117,211261,104383,97528,89907,7621,5550,1319,670,55,27,30,0,0,0,16,14,0,175,21,802,430,5397
1,119,12985,4045,3819,3420,399,320,28,35,11,5,17,17,0,0,0,0,0,7,0,152,0,50
1,121,80565,30336,28502,25746,2756,2044,587,94,31,0,107,107,0,0,0,0,26,55,6,602,254,784
1,123,40636,14901,14274,12975,1299,1035,255,9,0,0,14,14,0,0,0,0,0,12,0,115,113,373
1,125,206213,92238,87007,78875,8132,6742,924,266,94,106,283,265,18,0,0,0,83,47,301,1217,332,2968
1,127,64493,24210,23171,20623,2548,1910,438,84,63,53,50,50,0,0,0,0,0,50,0,268,139,532
1,129,16643,5445,5262,4561,701,536,64,99,2,0,0,0,0,0,0,0,0,0,0,12,43,128
1,131,10809,2864,2731,2509,222,143,40,34,5,0,9,9,0,0,0,0,0,0,0,21,8,95
1,133,23875,8638,8175,7050,1125,874,103,139,8,1,33,2,0,0,0,31,0,18,0,30,128,254
2,13,3425,2365,801,619,182,158,20,4,0,0,2,2,0,0,0,0,0,0,0,1272,75,215
2,16,5750,3861,2152,1835,317,214,52,43,2,6,26,23,0,3,0,0,8,3,12,1528,85,47
2,20,296112,155065,136298,118271,18027,13829,2245,1266,516,171,2430,2396,0,21,0,13,158,135,2123,4794,3047,6080
2,50,18040,5938,2139,1389,750,407,120,124,97,2,27,15,0,0,2,10,291,19,46,1818,1284,314
2,60,890,490,363,287,76,71,3,2,0,0,3,3,0,0,0,0,0,0,4,76,15,29
2,68,2232,1492,640,502,138,102,29,0,7,0,7,7,0,0,0,0,0,5,0,726,6,108
2,70,4975,1980,1062,706,356,237,58,29,30,2,18,10,0,8,0,0,26,0,3,524,250,97
2,90,99653,51749,46458,38909,7549,5633,1232,473,104,107,492,433,40,0,19,0,121,90,528,1724,650,1686
2,100,2518,1277,906,811,95,28,67,0,0,0,3,0,0,0,0,3,0,24,25,127,13,179
2,105,2132,1015,437,370,67,27,26,13,1,0,17,15,0,0,0,2,0,2,10,394,57,98
2,110,32330,17376,14307,11689,2618,2060,334,193,24,7,876,764,0,4,0,108,14,21,176,1102,133,747
2,122,58220,24803,19616,17027,2589,1964,349,226,17,33,165,149,0,0,0,16,33,26,131,1241,1590,2001
2,130,13804,6971,5715,4550,1165,897,192,42,21,13,249,183,0,0,0,66,32,15,14,583,163,200
2,150,13649,7274,5814,4717,1097,479,343,271,4,0,1,1,0,0,0,0,129,29,54,554,230,463
2,158,8198,2038,189,100,89,24,37,24,4,0,2,2,0,0,0,0,0,8,42,840,900,57
2,164,1375,572,176,133,43,23,4,8,8,0,2,2,0,0,0,0,0,3,3,212,154,22
2,170,103464,42213,35453,31050,4403,3125,520,182,212,364,329,319,0,0,0,10,32,67,75,858,2662,2737
2,180,9925,3579,1292,897,395,295,76,21,2,1,14,6,4,0,0,4,34,19,22,1345,706,147
2,185,9797,5388,2055,1152,903,538,213,68,46,38,146,146,0,0,0,0,115,0,5,2796,177,94
2,188,7734,2554,756,468,288,227,33,7,5,16,4,3,0,0,0,1,13,0,18,1107,529,127
2,195,3255,1520,1054,741,313,259,38,10,6,0,14,2,0,1,0,11,8,3,26,311,37,67
2,198,6474,2612,1692,1315,377,254,68,30,22,3,37,21,2,0,0,14,7,0,8,583,194,91
2,220,8738,4716,3411,2844,567,431,107,24,5,0,48,45,0,0,0,3,24,0,160,750,132,191
2,230,1061,670,315,262,53,20,12,12,0,9,5,0,0,0,2,3,0,8,46,263,0,33
2,240,6876,2812,2225,1789,436,280,144,8,4,0,10,10,0,0,0,0,0,0,1,166,31,379
2,261,9301,4847,3632,3081,551,417,59,58,0,17,36,27,0,0,0,9,0,1,16,814,130,218
2,275,2484,1055,717,627,90,67,19,4,0,0,7,3,0,0,0,4,0,0,23,142,43,123
2,282,689,336,210,162,48,36,12,0,0,0,1,1,0,0,0,0,0,0,13,90,5,17
2,290,5415,2059,681,505,176,99,45,5,27,0,10,10,0,0,0,0,0,10,6,835,353,164
4,1,71522,18161,15552,14073,1479,1283,138,17,25,16,192,187,0,0,5,0,0,0,43,939,240,1195
4,3,126279,46139,41073,36351,4722,3451,688,203,178,202,351,351,0,0,0,0,163,261,236,1291,682,2082
4,5,140217,65014,52497,45174,7323,5699,796,541,185,102,1002,901,22,4,60,15,220,157,1452,5913,730,3043
4,7,53400,17593,16123,14043,2080,1707,195,86,29,63,32,32,0,0,0,0,0,64,13,432,97,832
4,9,37879,12365,11529,9848,1681,997,251,196,69,168,41,41,0,0,0,0,0,32,10,257,91,405
4,11,9504,3795,3619,3354,265,181,61,10,11,2,0,0,0,0,0,0,0,3,0,70,47,56
4,12,20701,6385,5428,4630,798,500,93,96,79,30,46,46,0,0,0,0,0,97,163,243,28,380
4,13,4253913,1976339,1724792,1507253,217539,167943,30996,10192,5622,2786,41442,37516,1867,1184,726,149,2970,7797,16468,29957,22336,130577
4,15,206064,69705,64268,55770,8498,6765,1124,438,148,23,654,619,0,0,0,35,204,335,150,872,732,2490
4,17,108705,32649,27463,23973,3490,2907,323,83,150,27,359,359,0,0,0,0,0,34,122,1572,810,2289
4,19,1019722,436164,378783,335510,43273,32243,6539,2340,1351,800,11018,10458,409,47,50,54,558,2327,7079,9859,4770,21770
4,21,419721,147358,132833,115513,17320,13157,2568,881,440,274,310,304,0,0,6,0,123,842,476,2257,1793,8724
