GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXEE001,AJXEE002,AJXEE003,AJXEE004,AJXEE005,AJXEE006,AJXEE007,AJXEE008,AJXEE009,AJXEE010,AJXEE011,AJXEE012,AJXEE013,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY2E001,AJY2E002,AJY2E003,AJY2E004,AJY2E005,AJY2E006,AJY2E007,AJY2E008,AJY2E009,AJY2E010,AJY2E011,AJY2E012,AJY2E013,AJY2E014,AJZAE001,AJZVE001,AJZVE002,AJZVE003,AJ0EE001,AJ1CE001,AJ1CE002,AJ1CE003,AJ1CE004,AJ1CE005,AJ1CE006,AJ1CE007,AJ1SE001,AJ1TE001,AJ1TE002,AJ1TE003,AJ14E001,AJ14E002,AJ14E003,AJ14E004,AJ14E005,AJ14E006,AJ14E007,AJ14E008,AJ2ME001,AJ2ME002,AJ2ME003,AJ2ME004,AJ2ME005,AJ2ME006,AJ2ME007,AJ2ME008,AJ2ME009,AJ2ME010,AJ2ME011,AJ2NE001,AJ3EE001,AJ3QE001,NAME_M,AJWMM001,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXEM001,AJXEM002,AJXEM003,AJXEM004,AJXEM005,AJXEM006,AJXEM007,AJXEM008,AJXEM009,AJXEM010,AJXEM011,AJXEM012,AJXEM013,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY2M001,AJY2M002,AJY2M003,AJY2M004,AJY2M005,AJY2M006,AJY2M007,AJY2M008,AJY2M009,AJY2M010,AJY2M011,AJY2M012,AJY2M013,AJY2M014,AJZAM001,AJZVM001,AJZVM002,AJZVM003,AJ0EM001,AJ1CM001,AJ1CM002,AJ1CM003,AJ1CM004,AJ1CM005,AJ1CM006,AJ1CM007,AJ1SM001,AJ1TM001,AJ1TM002,AJ1TM003,AJ14M001,AJ14M002,AJ14M003,AJ14M004,AJ14M005,AJ14M006,AJ14M007,AJ14M008,AJ2MM001,AJ2MM002,AJ2MM003,AJ2MM004,AJ2MM005,AJ2MM006,AJ2MM007,AJ2MM008,AJ2MM009,AJ2MM010,AJ2MM011,AJ2NM001,AJ3EM001,AJ3QM001
"G130","2014-2018",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",10297484,10297484,9329021,5476441,3195363,18416,399223,5070,30394,204114,9209,194905,968463,603535,43937,15068,3278,1025,253286,48334,26652,21682,4667378,4165302,3708394,456908,342977,66096,26056,12648,9131,99181,71421,795,23545,3093,327,12680,4866,10723,69380,50744,254502,4412876,92060,339011,558010,666047,632434,268468,632503,142381,173482,433254,341463,133763,3709488,2501768,1768511,733257,175248,558009,1207720,997979,209741,6786547,91231,1168,1421,3217,6428,14534,11356,17939,65172,34640,77650,121890,165149,172468,119651,1566284,323848,379243,1014998,518144,1282947,564866,142787,89516,3709488,3191171,270917,64545,206372,116710,12927,103783,91379,23913,67466,39311,5521,33790,55679,3709488,522210,3187278,29523,8082220,5091132,5043919,4721065,322854,47213,2991088,4241003,4241003,3709488,531515,531515,104455,22625,48158,17454,100207,817,237799,4241003,77777,112610,930687,887553,718252,586546,374702,256915,116536,179425,1988,968,166800,"Georgia",0,0,561,1796,4327,867,2451,777,2625,5601,1130,5360,561,5462,2546,2148,578,382,5469,2626,1880,1979,11149,13179,12077,6661,5696,2571,1519,972,947,2974,2463,218,1343,548,137,1273,613,826,2369,2188,4149,11873,2881,5306,5741,6394,6870,4269,6390,2820,3472,5585,5779,2802,9402,10024,11014,5631,3319,4728,6444,6784,3236,2032,2794,240,339,541,832,1123,998,1264,2790,1345,2424,3100,3635,3885,3015,13509,4142,6229,9374,5662,9797,7175,2869,2103,9402,8701,3150,1912,3326,2596,874,2278,1569,1064,1517,1812,637,1663,243,9402,5101,10104,140,2829,11115,11058,11269,4767,1731,10719,721,721,9402,9840,9840,3326,1348,2246,1190,2198,210,5047,721,2197,2851,6232,6770,5842,6039,3915,3138,2290,2612,1,3,443
"G150","2014-2018",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1422029,1422029,1274067,314536,24472,1877,522731,132583,1591,276277,1600,274677,147962,41076,1794,1110,14111,10691,13701,65479,8205,57274,700228,566883,468932,97951,71338,16234,6340,3150,889,45326,44999,53,168,45,61,540,4379,5956,31742,12050,33352,666876,15096,61007,85423,94244,91635,34648,110896,16227,28674,61446,49515,18065,456782,319069,237269,81800,26023,55777,137713,108906,28807,988367,10953,143,303,456,1322,2147,1690,1835,8965,2793,6791,8148,11875,10850,12425,251280,22353,55742,152114,105186,212053,72121,22668,14154,456782,308953,14506,924,13582,9174,745,8429,120031,25568,94463,4118,403,3715,78084,456782,54573,402209,34035,1147445,749527,709482,677446,32036,40045,397918,539053,539053,456782,82271,82271,20298,2183,3564,1869,35108,316,18933,539053,6433,14041,72596,75570,83501,123094,79054,46569,19286,18909,1979,1566,587700,"Hawaii",0,0,0,292,823,287,4215,2094,346,4550,309,4557,0,2227,350,247,1356,972,1541,2225,812,2224,3508,3464,3457,2462,2112,1094,679,506,249,1472,1474,50,98,36,43,158,419,561,1304,978,1374,3613,986,1796,1950,2138,1970,1349,2359,929,1206,1693,1417,885,2081,2269,2462,1755,951,1465,2144,1964,964,124,834,75,122,166,310,369,349,287,728,379,600,772,897,721,734,3629,1012,1687,2721,2093,3445,1750,940,758,2081,2487,753,215,731,651,185,611,1785,1031,1653,537,142,546,607,2081,1379,2417,238,656,2913,3032,3469,1177,902,2946,324,324,2081,1957,1957,917,373,471,352,1330,158,1187,324,570,799,1539,1641,1749,1807,1502,1231,831,843,1,14,3490
"G160","2014-2018",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1687809,1687809,1478736,1387654,10739,18775,22809,2348,1038,35373,861,34512,209073,139608,797,4015,949,413,52072,11219,6047,5172,757408,670856,595426,75430,56894,10506,4768,2031,1231,5418,5201,36,64,63,54,410,2036,7214,19434,6034,46006,711402,38772,109304,127639,125622,99510,39941,73855,14214,15853,33692,20637,12363,618331,418688,335422,83266,26870,56396,199643,163549,36094,1089266,10670,366,125,467,835,2095,1701,1698,8934,2692,8590,11422,15485,19551,18060,242641,59219,93908,193205,104333,198648,65700,15775,13146,618331,547048,48980,9369,39611,11640,1061,10579,6948,1146,5802,3715,729,2986,53089,618331,70443,547888,26772,1298537,810430,806373,768701,37672,4057,488107,711731,711731,618331,93400,93400,10911,2488,7621,4449,49311,784,17836,711731,18754,23860,150581,131399,77565,131038,44753,45785,28592,59404,1986,825,192300,"Idaho",0,0,151,351,752,741,927,333,257,1686,302,1626,151,3033,297,734,290,186,2762,1263,887,784,3243,3537,3586,2675,2315,871,744,469,266,498,488,31,60,64,46,162,322,649,964,556,1544,3389,1612,2550,3019,2572,2340,1902,2615,1076,1004,1690,1180,816,2254,3035,3475,2074,1257,1621,2602,2381,1437,826,815,191,56,157,223,475,362,346,758,567,624,858,994,1068,996,3706,1749,2526,3517,2403,3265,1953,988,784,2254,2536,1302,673,1343,746,282,666,473,245,506,441,215,383,400,2254,1594,2802,267,1059,3121,3134,3360,1646,469,3019,286,286,2254,2122,2122,886,493,758,604,1290,190,1145,286,932,1170,2644,2649,1809,2156,1429,1433,909,1515,1,6,1482
"G170","2014-2018",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",12821497,12821497,10646655,7894286,1796057,15037,685343,3088,20105,232739,11627,221112,2174842,1294899,28068,16827,5479,1494,742401,85674,51239,34435,6124144,4962939,4476231,486708,375334,68689,23962,11343,7380,578636,229402,2973,199271,146470,520,15651,5379,39586,182578,48646,290729,5833415,158258,532398,701588,750699,736057,354523,808989,197786,291404,614842,514131,172740,4830038,3117333,2300306,817027,221315,595712,1712705,1417008,295697,8682343,110053,1540,1499,3765,9409,19267,15338,21906,108617,25058,116044,96288,130607,153866,151330,1955687,311848,568857,1230951,692622,1801833,847698,194142,114118,4830038,3756181,554096,107270,446826,312902,65196,247706,154137,35637,118500,52722,9945,42777,63575,4830038,661803,4168235,34463,10234674,6679997,6663103,6225964,437139,16894,3554677,5347268,5347268,4830038,517230,517230,113418,19960,63102,29806,53022,467,237455,5347268,38500,72291,592285,588244,478474,772176,624961,681255,336268,1162814,1968,984,187200,"Illinois",0,0,292,1461,3855,817,2738,386,1493,4293,1055,4637,292,10472,2243,1804,839,374,10880,3576,2968,1856,11844,13372,12227,6788,5259,2504,1433,887,614,4877,3614,458,2757,2954,140,987,478,1521,3531,1708,3498,13233,2438,5096,5572,5375,5715,4509,6199,3046,3369,5803,4980,3030,9750,10480,11885,5816,3533,4990,7059,6673,3393,1159,2579,275,255,436,826,1067,927,1219,2594,1119,2936,2368,2719,2994,2923,12892,3468,6504,8682,5940,11249,7625,3061,2441,9750,10092,3563,2148,3491,3285,1710,2956,2004,1345,1689,1687,737,1491,187,9750,5282,11790,135,2318,11036,10996,11788,4998,886,10716,727,727,9750,9935,9935,3541,1266,2720,1441,1651,179,4999,727,1473,1693,4963,4291,4354,5131,5147,4120,3803,6153,1,3,530
"G180","2014-2018",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",6637426,6637426,6187159,5275162,610343,12125,143883,2133,9793,133720,3794,129926,450267,273115,9129,2800,1108,685,134855,28575,17093,11482,3107072,2851074,2578594,272480,213520,33103,12153,8091,5613,31522,24684,457,1563,4469,349,2346,3459,12793,64980,24295,116603,2990469,102192,352424,459694,494060,443667,207656,361344,94515,105723,195976,118627,54591,2553818,1668393,1238730,429663,122762,306901,885425,726648,158777,4399815,40742,717,647,1364,2183,4799,4687,5432,23220,12104,68745,67275,97514,101520,71675,1248789,227142,293011,605831,382510,727108,304487,62892,45421,2553818,2326631,118643,23645,94998,59076,7140,51936,36870,10433,26437,12598,2206,10392,54325,2553818,284689,2269129,28461,5243518,3348477,3345383,3164414,180969,3094,1895041,2870670,2870670,2553818,316852,316852,63479,15760,30984,20101,47251,374,138903,2870670,37265,66150,358133,423886,287418,403512,316856,313891,167577,495982,1973,807,135400,"Indiana",0,0,166,898,3214,764,1769,239,982,3846,516,3833,166,4227,1063,599,303,339,3967,1879,1367,1293,7703,8271,8392,4320,4024,1502,770,616,606,1312,1175,195,317,445,136,412,319,972,1703,1080,2519,7595,2274,4867,4401,4265,4759,3028,4182,2321,2458,2974,2216,1883,7375,7212,8363,4474,2282,3550,5005,5428,2491,1215,1476,193,153,255,328,548,623,627,1365,818,2002,2192,2283,2582,1713,7905,3193,4207,4816,3879,6494,3934,1831,1621,7375,6558,1614,974,1702,1582,682,1321,1186,771,1199,795,356,722,230,7375,3408,8696,132,1899,6883,6880,7526,2815,479,7003,453,453,7375,7125,7125,2620,1273,1593,1165,1514,186,3402,453,1575,1368,4227,4135,3394,3992,3585,3213,2993,3475,2,4,429
"G190","2014-2018",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",3132499,3132499,2949203,2695888,107471,9067,74640,2863,2806,56468,633,55835,183296,132001,2440,2482,443,266,36362,9302,4497,4805,1583271,1416582,1285034,131548,101329,17458,6453,4226,2082,17435,16984,112,72,32,235,1243,2417,7766,51801,10755,75272,1507999,100718,262846,275199,260815,210243,89947,133787,30880,31699,59863,32105,19897,1256855,800510,634021,166489,53290,113199,456345,367268,89077,2081373,16321,489,313,380,1125,2320,1431,2308,9044,4117,27634,18838,25678,32960,23751,565437,82700,152796,288291,238423,395820,132751,33970,24476,1256855,1153194,50384,10970,39414,24398,3235,21163,20435,6455,13980,8444,2622,5822,58580,1256855,141963,1114892,31085,2484354,1676339,1674697,1609481,65216,1642,808015,1386722,1386722,1256855,129867,129867,25479,5729,13482,7275,23000,348,54554,1386722,22816,40170,158500,147699,102544,201409,144415,140023,72207,356939,1969,766,142300,"Iowa",0,0,221,609,1631,611,1145,320,696,1934,185,1950,221,2195,565,443,127,101,1981,1077,629,834,4647,5192,5433,2733,2374,1068,499,483,308,1051,1043,60,41,26,118,234,286,517,1437,717,1709,4944,1992,3532,3380,3109,3014,1727,2433,1017,1023,1585,1085,796,4146,3560,4198,2589,1490,2114,3148,3132,1719,894,900,151,135,113,262,420,274,305,701,477,998,868,982,1212,956,3912,1697,2490,3050,2603,4038,2474,1353,1157,4146,4272,927,600,1011,1045,440,884,746,509,745,561,377,459,313,4146,2472,4781,190,1190,4422,4399,4666,1805,256,4350,687,687,4146,3763,3763,1504,650,858,755,959,165,1917,687,996,1338,2361,2212,2306,2111,2106,2074,1412,2338,1,5,518
"G200","2014-2018",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",2908776,2908776,2568160,2214543,163713,19504,82887,1827,2302,83384,1092,82292,340616,246076,6088,4546,644,316,65286,17660,8306,9354,1422992,1299825,1169866,129959,97932,18831,6939,4206,2051,6898,6397,112,130,39,220,730,2557,5119,33452,11029,63382,1359610,82823,223282,245307,239390,199466,80803,133616,28763,29635,52001,28560,15964,1124549,731657,571526,160131,49491,110640,392892,325708,67184,1894675,16970,383,330,718,1476,2793,2235,2326,13976,5295,22710,21071,26026,33295,26115,415835,76984,152303,289742,161016,394462,168742,36091,23781,1124549,992630,80359,18599,61760,21695,2487,19208,22449,5916,16533,7416,1345,6071,57422,1124549,96562,1027987,30757,2272565,1511705,1493698,1428660,65038,18007,760860,1266378,1266378,1124549,141829,141829,32810,5691,13703,7715,15499,323,66088,1266378,16165,28892,145268,163501,146482,191079,130731,161700,72120,210440,1973,831,145400,"Kansas",0,0,52,442,1723,773,1288,265,441,2435,248,2405,49,3163,922,756,259,171,2996,1163,885,996,4746,4630,5106,3097,2719,1101,611,575,334,699,671,68,64,36,95,246,351,526,1292,795,1557,4673,2013,3154,3079,3268,3625,1808,2565,1273,1155,1629,1096,792,4096,3633,4095,2696,1513,2161,2898,2912,1683,984,1071,117,100,149,335,362,336,309,976,492,1106,1073,1082,1456,1039,4020,1646,2530,3382,2885,4416,2725,1278,1015,4096,3911,1584,1021,1513,946,312,859,810,466,729,485,265,469,337,4096,1899,4567,189,1193,4184,4262,4737,1906,757,4218,484,484,4096,3790,3790,1615,547,949,702,914,113,1903,484,902,989,2002,2069,2110,2447,2364,1889,1495,2145,1,5,806
"G210","2014-2018",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4440204,4440204,4281460,3764082,349407,8498,62432,2339,6057,88645,1732,86913,158744,102594,4705,1390,370,475,38029,11181,6294,4887,1929677,1769353,1584648,184705,146314,23389,7997,4640,2365,20400,19943,127,82,95,153,1198,1741,3692,42943,20648,69702,1859975,68517,212720,285494,318450,286398,125738,230482,52706,57419,116693,69620,35738,1728681,1135709,836598,299111,82763,216348,592972,491997,100975,3004004,32771,298,485,1087,1984,4879,4312,7057,17086,18828,86211,63815,76936,71826,41998,787966,203825,199735,428500,244802,415937,211163,53145,29358,1728681,1625197,49230,11594,37636,28456,3855,24601,17147,4657,12490,8651,2013,6638,48392,1728681,270877,1457804,26948,3542792,2101888,2087800,1959442,128358,14088,1440904,1974406,1974406,1728681,245725,245725,36616,9054,19428,13601,40560,524,125942,1974406,28068,54592,295558,339163,249558,328558,214429,182296,89804,192380,1979,741,135300,"Kentucky",0,0,523,933,2370,603,1144,272,901,2747,268,2703,523,2705,731,447,126,351,2588,909,776,667,6494,7039,7245,3460,3236,1200,660,607,366,1030,999,72,58,60,76,246,283,427,1455,1183,1820,6728,1995,4134,3993,3890,3188,2458,3178,1670,1554,2309,1863,1230,5065,4851,5899,3571,2280,3039,4575,4589,2177,1403,1364,94,148,266,318,499,514,602,963,1078,1815,1974,2182,2105,1297,5901,2896,2804,5786,3555,4593,3171,1382,1167,5065,5141,1064,701,1087,1058,444,1001,706,487,706,755,286,649,291,5065,2971,5833,151,1660,5389,5269,6059,2663,633,5369,449,449,5065,5249,5249,1705,873,1082,933,1357,155,3436,449,1144,1691,3256,3671,2627,3544,2679,2488,1755,2255,1,4,551
"G220","2014-2018",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4663616,4663616,4428696,2744265,1492230,24014,79137,1154,8905,78991,2194,76797,234920,156841,10686,2258,735,314,51514,12572,6664,5908,2007599,1847379,1660274,187105,139278,28876,11098,4510,3343,25582,23711,1304,234,107,226,1948,2486,10474,36198,23242,60290,1947309,59947,205336,288688,332899,294958,110821,269572,46425,52076,130187,97327,59073,1736021,1113951,751595,362356,88389,273967,622070,524332,97738,3107941,36825,570,327,1642,1870,6373,4741,8940,22908,24783,49239,64539,93018,102798,53387,889374,166394,169443,486729,186448,483170,173858,51432,29133,1736021,1554142,71875,19813,52062,81300,6453,74847,21904,6100,15804,6800,996,5804,47942,1736021,278183,1457838,27027,3677980,2197041,2180965,2031115,149850,16076,1480939,2045554,2045554,1736021,309533,309533,57495,10558,20872,13994,57359,1986,147269,2045554,36725,76787,308309,259072,298995,376736,262543,198668,89220,138499,1979,850,157800,"Louisiana",0,0,422,935,2611,909,1104,234,1044,3119,439,3073,422,2875,1353,394,327,167,2733,1260,945,916,6988,7316,8018,3975,3222,1860,1121,585,422,1394,1403,214,109,79,112,359,394,776,1823,1264,1960,7133,2127,3348,4042,4508,4249,3065,3840,1859,1931,3002,2251,2114,5617,6866,6054,4367,2418,3558,4899,4564,2255,1238,1567,185,134,279,352,694,447,765,1140,1384,1788,1996,2669,2791,1896,7216,3036,3342,5320,3993,6650,3716,1803,1117,5617,5567,1383,1009,1422,1819,507,1850,818,543,761,610,272,565,363,5617,3306,6100,183,1673,7058,7041,7130,2864,774,7351,331,331,5617,5481,5481,2264,899,1140,892,1847,394,3703,331,1477,1975,4018,4027,3903,4144,3188,2822,1960,2214,1,4,675
"G230","2014-2018",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1332813,1332813,1311392,1244525,16990,7722,14814,258,843,26240,379,25861,21421,14692,891,580,103,60,2127,2968,918,2050,651799,574444,511466,62978,51040,7023,2159,1097,1659,4159,3384,49,132,179,415,1561,927,2729,25602,4852,37525,614274,28813,77791,93367,93495,83180,40953,70234,20003,21702,45652,25669,13415,556955,347959,272403,75556,24867,50689,208996,163114,45882,967897,5409,199,93,147,162,375,527,902,1790,2733,14094,10002,14335,13563,10095,260693,47320,59404,130205,96570,190172,78014,18281,12812,556955,508224,6976,499,6477,33126,3245,29881,5054,926,4128,3575,785,2790,55425,556955,83988,472967,31253,1109357,699180,697391,665188,32203,1789,410177,739077,739077,556955,182122,182122,10857,2466,7448,2528,129227,237,29359,739077,7014,15312,97931,90350,105485,102982,52990,53031,35491,178491,1975,831,184500,"Maine",0,0,0,306,714,457,523,103,277,919,149,892,0,563,272,220,58,59,396,458,274,446,3123,2718,2882,1880,1578,616,311,267,320,469,441,30,84,77,106,405,190,400,1028,479,1004,2946,1118,1887,2392,1819,1904,1362,1755,962,1031,1255,1031,693,2215,2274,2225,1629,877,1346,2375,2179,1386,417,461,91,49,76,76,146,143,186,353,374,744,560,868,1005,654,2444,1352,1334,2398,1968,2257,1873,908,691,2215,2391,476,153,459,1060,344,1026,393,190,409,367,195,309,588,2215,1701,2699,280,695,2835,2806,2989,1205,283,2958,417,417,2215,2060,2060,951,379,639,349,1676,107,1261,417,535,876,1736,1639,1495,2023,1305,1391,1270,2046,1,8,1127
"G240","2014-2018",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",6003435,6003435,5414523,3084868,1759438,10949,371981,2265,19368,165654,7236,158418,588912,288313,28652,4695,2296,794,230447,33715,16715,17000,3021967,2506407,2233034,273373,208320,37430,14112,8789,4722,258397,122601,1602,111886,21835,473,7710,2553,10199,70350,23926,142425,2879542,44766,165800,271383,351856,368368,177427,429585,112312,157249,350865,320995,128936,2192518,1466554,1053860,412694,105838,306856,725964,591551,134413,4114858,49217,1085,1082,2027,4674,9076,6694,9897,30944,15136,34291,49308,63545,66849,65932,894293,127554,244463,534708,273518,877641,522662,124561,105701,2192518,1778807,155477,31629,123848,117037,13483,103554,89530,19221,70309,51667,5385,46282,81868,2192518,245670,1946848,40517,4809210,3261655,3232422,3051333,181089,29233,1547555,2437740,2437740,2192518,245222,245222,48476,8519,25716,7400,59900,211,95000,2437740,34781,61091,284800,353275,375013,346824,281477,279614,129309,291556,1977,1357,305500,"Maryland",0,0,0,1270,3235,678,2153,286,1778,3752,961,3673,0,5586,1972,872,469,364,5998,2168,1425,1348,6485,7636,7075,4234,3508,1650,884,930,469,3596,2839,315,2208,975,123,776,331,618,2067,1383,2607,6712,1494,3106,3183,4266,4477,3283,4476,2278,2757,3867,4166,2913,5412,6220,6639,3519,2110,3164,4501,3961,2233,587,1737,210,263,411,603,894,702,738,1745,1084,1459,1706,2107,2011,1752,7325,2935,3502,5568,3589,6053,5038,2581,2490,5412,5414,1864,1214,2060,1820,833,1701,1651,873,1597,1608,628,1455,431,5412,3199,6358,189,1461,6524,6256,6255,2853,1092,6416,419,419,5412,5268,5268,2238,870,1462,768,1150,132,2844,419,1194,1375,2745,3096,3908,3220,3193,2745,2408,2721,1,4,1064
"G250","2014-2018",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",6830193,6830193,6041066,4930412,463796,8890,440336,1698,53268,142666,14354,128312,789127,429594,46762,5603,2238,631,231472,72827,19047,53780,3500223,2721039,2458064,262975,205921,33260,12026,6842,4926,358143,118713,7175,168360,60504,3391,8352,2932,29651,171603,32469,176034,3324189,77666,274638,392207,436653,423802,193128,470159,112395,162745,354991,314912,110893,2601914,1651808,1224142,427666,109720,317946,950106,743506,206600,4748795,68153,842,1099,2469,5147,10665,17179,14989,28556,16803,48303,49215,62015,60121,68804,1019399,131447,228477,512307,365103,1128877,637628,141903,129294,2601914,1942634,236293,62908,173385,274420,50933,223487,110083,32098,77985,38484,7036,31448,77378,2601914,333410,2268504,41794,5619991,3778642,3773721,3570257,203464,4921,1841349,2882739,2882739,2601914,280825,280825,39087,12769,16817,13404,127508,84,71156,2882739,28794,45461,205600,221764,311967,334982,296110,323751,161272,953038,1960,1225,366800,"Massachusetts",0,0,320,2445,2882,709,2121,364,3281,3762,1346,3581,320,6443,2885,982,424,211,6043,3413,1466,3302,8983,9285,9516,4858,4437,1774,972,756,519,4211,3159,690,3215,1666,371,698,455,1321,3058,1575,2721,9680,2058,3550,4978,4825,4401,2849,5134,2760,2729,4538,4076,2263,4637,5930,7624,4464,2691,3844,5256,4550,3096,565,2335,209,249,409,666,731,1194,1103,1454,953,1910,1635,1663,1818,1971,8635,2857,3216,5518,4355,7712,5760,2599,2915,4637,5421,2549,1915,2658,3955,1628,3314,1533,1207,1472,1360,572,1184,425,4637,3380,5691,203,1584,7697,7790,8657,3666,478,7792,709,709,4637,5088,5088,2033,959,1190,1120,2388,65,2393,709,1243,1402,2911,3084,3597,3696,3686,3528,2627,5160,1,6,1044
"G260","2014-2018",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9957488,9957488,9459591,7489371,1360345,45772,303059,2464,14334,244246,6635,237611,497897,329217,15079,7463,1344,515,104807,39472,18945,20527,4504994,4110477,3714050,396427,309901,52093,19241,9753,5439,61568,59491,427,845,336,469,5082,4067,19549,101150,28104,174997,4329997,133178,463123,630779,696900,659652,308878,535625,138413,170975,320022,192296,80156,3909509,2514380,1851321,663059,185523,477536,1395129,1146430,248699,6772215,72034,1177,1279,1349,3087,5549,5225,9598,24173,14817,61922,70754,122941,140989,106642,1695208,271601,515266,1074799,636753,1179677,559642,118563,79170,3909509,3511998,124798,18232,106566,131951,17519,114432,70758,16381,54377,70004,15924,54080,54938,3909509,574471,3335038,30336,8027949,4923316,4919495,4598487,321008,3821,3104633,4580939,4580939,3909509,671430,671430,62902,15809,46792,26461,290711,1977,226778,4580939,36909,54480,453004,604698,454292,704492,546353,687047,355865,683799,1970,850,146200,"Michigan",0,0,71,1062,3492,1315,1909,351,1208,4439,675,4324,71,4022,1292,962,243,145,3985,1982,1327,1309,9085,8819,8490,4658,3959,1764,1064,761,499,1815,1811,140,217,94,144,543,392,919,1945,1106,2632,8801,2333,3739,4619,5182,4910,3292,4480,2608,2981,3660,2845,1858,9207,7888,9502,4664,2669,4094,5365,5600,2818,832,1885,213,209,285,403,513,477,608,1111,762,1943,1940,2721,2758,2021,9064,2940,5544,6905,4629,6732,5669,2087,1713,9207,9560,1860,928,1823,2027,847,1831,1381,804,1109,1661,889,1421,166,9207,4340,11246,121,1878,8082,8079,8551,3957,349,7999,932,932,9207,8535,8535,2230,1059,2036,1200,2795,222,3956,932,1178,1156,3372,3922,3788,3981,4326,3934,3137,4332,1,2,431
